;Basisthema;Type;Definitie;Eenheid;Ratio;Teller;Noemer;Bron;Laatste jaar beschikbaar;Aanlevering volgende update;Title;Download URL;Vraagstelling survey
0;Armoede;Geregistreerde statistiek;"Aandeel fiscale aangiften (zonder nulaangiften) met een netto belastbaar inkomen boven 50.000 euro.
Het totale netto belastbaar inkomen bestaat uit alle netto inkomsten van alle inwoners min de aftrekbare uitgaven. Het netto belastbaar inkomen is de som van alle inkomsten uit onroerende goederen (huuropbrengsten en inkomsten uit woningen), inkomsten uit en opbrengsten van roerende goederen en kapitalen (dividenden, intresten…), beroepsinkomsten (wedden en lonen, ziekte-uitkeringen, werkloosheidsuitkeringen, (brug-)pensioenuitkeringen, winsten, baten, wedden van bedrijfsleiders en meewerkende echtgenoten, na aftrek van de beroepskosten) en diverse inkomsten, verminderd met de aftrekbare uitgaven (zoals kinderopvang, onderhoudsuitkeringen, giften…). Deze gegevens zijn gebaseerd op de aangiften in de personenbelasting die door de FOD Financiën aan Statbel worden aangeleverd. Het vermelde jaar is het inkomstenjaar, het jaar dus waarin de gegevens in de aangiften zijn ""verdiend"".";aangifte;procent;Aantal fiscale aangiften (zonder nulaangiften) met een netto belastbaar inkomen hoger dan 50.000 euro;Aantal fiscale aangiften (zonder nulaangiften);Statbel;2020;augustus 2023;Aangiften groter dan 50.000 euro;https://gsminfo.blob.core.windows.net/$web/Rapporten_outputs/OutputPerlDO/GSM_Extract_AR_09.xlsx;
1;Armoede;Burgerbevraging;Aandeel van de inwoners dat behoort tot een huishouden met betalingsmoeilijkheden dat het afgelopen jaar problemen heeft gehad om één of meerdere rekeningen (op tijd) te betalen (huishuur/afbetaling woning, energiekosten, gezondheidskosten, schoolkosten, internet/telefonie/televisie, ...).;persoon;procent;In de teller werden diegenen opgenomen die antwoordden met 'Ja, het is al eens voorgekomen dat de rekening niet (op tijd) kon betaald worden'.;Iedereen die antwoordde op de vraag werd in de noemer opgenomen, uitgezonderd de respondenten die voor alle items in de categorie 'Weet niet/niet van toepassing' zitten. Indien dit om een omvangrijke categorie gaat, wordt hun percentage meegegeven bij 'Opmerkingen bij de kwaliteit'.;Burgerbevraging Gemeente-Stadsmonitor, Agentschap Binnenlands Bestuur;2020;voorjaar 2024;Betalingsmoeilijkheden;https://gsminfo.blob.core.windows.net/$web/Rapporten_outputs/OutputPerlDO/GSM_Extract_AR_S_01.xlsx;Is het gedurende het afgelopen jaar voorgekomen dat jij of een andere persoon van het gezin één of meerdere rekeningen niet (op tijd) kon betalen om financiële redenen? Huishuur/afbetaling woning (terugbetaling lening). Rekening van elektriciteit/water/gas/stookolie. Internet/telefonie/televisie. Gezondheidsuitgaven. Terugbetaling van aankopen op afbetaling (uitgezonderd voor de woning). Schoolkosten. Kinderopvang. Andere kosten. Antwoordmogelijkheden: ‘Neen, dat is het voorbije jaar niet voorgekomen’, ‘Ja, het is al eens voorgekomen dat de rekening niet (op tijd) kon betaald worden’, ‘Weet niet/niet van toepassing’
2;Armoede;Geregistreerde statistiek;Aantal ingeschakelde (actieve) budgetmeters elektriciteit en aardgas ten opzichte van aantal toegangspunten op 31 december.;budgetmeter;per 1.000 toegangspunten;Aantal actieve budgetmeters elektriciteit en aardgas;Aantal toegangspunten elektricteit en aardgas;Vlaamse Regulator van de Elektriciteits- en Gasmarkt;2022;juni 2024;Energie-armoede huishoudens;https://gsminfo.blob.core.windows.net/$web/Rapporten_outputs/OutputPerlDO/GSM_Extract_AR_02.xlsx;
3;Armoede;Geregistreerde statistiek;"Aandeel individuele fiscale aangiften (zonder nulaangiften) met een netto belastbaar inkomen lager dan 10.000 euro.
Aandeel gemeenschappelijke aangiften (zonder nulaangiften) met een netto belastbaar inkomen lager dan 20.000 euro.
Het totale netto belastbaar inkomen bestaat uit alle netto inkomsten van alle inwoners min de aftrekbare uitgaven. Het netto belastbaar inkomen is de som van alle inkomsten uit onroerende goederen (huuropbrengsten en inkomsten uit woningen), inkomsten uit en opbrengsten van roerende goederen en kapitalen (dividenden, intresten…), beroepsinkomsten (wedden en lonen, ziekte-uitkeringen, werkloosheidsuitkeringen, (brug-)pensioenuitkeringen, winsten, baten, wedden van bedrijfsleiders en meewerkende echtgenoten, na aftrek van de beroepskosten) en diverse inkomsten, verminderd met de aftrekbare uitgaven (zoals kinderopvang, onderhoudsuitkeringen, giften…). Deze gegevens zijn gebaseerd op de aangiften in de personenbelasting die door de FOD Financiën aan Statbel worden aangeleverd. Het vermelde jaar is het inkomstenjaar, het jaar dus waarin de gegevens in de aangiften zijn ""verdiend"".";aangifte;procent;"Aantal individuele fiscale aangiften (zonder nulaangiften) met een netto belastbaar inkomen lager dan 10.000 euro
Aantal gemeenschappelijke aangiften (zonder nulaangiften) met een netto belastbaar inkomen lager dan 20.000 euro";Aantal individuele fiscale aangiften (zonder nulaangiften) en aantal gemeenschappelijke aangiften (zonder nulaangiften);Statbel;2020;november 2023;Fiscaal inkomen beneden kritische grens;https://gsminfo.blob.core.windows.net/$web/Rapporten_outputs/OutputPerlDO/GSM_Extract_AR_10.xlsx;
4;Armoede;Geregistreerde statistiek;"Gemiddeld netto belastbaar inkomen per aangifte.
Het totale netto belastbaar inkomen bestaat uit alle netto inkomsten van alle inwoners min de aftrekbare uitgaven. Het netto belastbaar inkomen is de som van alle inkomsten uit onroerende goederen (huuropbrengsten en inkomsten uit woningen), inkomsten uit en opbrengsten van roerende goederen en kapitalen (dividenden, intresten…), beroepsinkomsten (wedden en lonen, ziekte-uitkeringen, werkloosheidsuitkeringen, (brug-)pensioenuitkeringen, winsten, baten, wedden van bedrijfsleiders en meewerkende echtgenoten, na aftrek van de beroepskosten) en diverse inkomsten, verminderd met de aftrekbare uitgaven (zoals kinderopvang, onderhoudsuitkeringen, giften…). Deze gegevens zijn gebaseerd op de aangiften in de personenbelasting die door de FOD Financiën aan Statbel worden aangeleverd. Het vermelde jaar is het inkomstenjaar, het jaar dus waarin de gegevens in de aangiften zijn ""verdiend"".";euro;per aangifte;Totaal netto belastbaar inkomen;Aantal fiscale aangiften (zonder nulaangiften);Statbel;2020;november 2023;Gemiddeld inkomen, per aangifte;https://gsminfo.blob.core.windows.net/$web/Rapporten_outputs/OutputPerlDO/GSM_Extract_AR_12.xlsx;
5;Armoede;Geregistreerde statistiek;"Gemiddeld netto belastbaar inkomen per inwoner.
Het totale netto belastbaar inkomen bestaat uit alle netto inkomsten van alle inwoners min de aftrekbare uitgaven. Het netto belastbaar inkomen is de som van alle inkomsten uit onroerende goederen (huuropbrengsten en inkomsten uit woningen), inkomsten uit en opbrengsten van roerende goederen en kapitalen (dividenden, intresten…), beroepsinkomsten (wedden en lonen, ziekte-uitkeringen, werkloosheidsuitkeringen, (brug-)pensioenuitkeringen, winsten, baten, wedden van bedrijfsleiders en meewerkende echtgenoten, na aftrek van de beroepskosten) en diverse inkomsten, verminderd met de aftrekbare uitgaven (zoals kinderopvang, onderhoudsuitkeringen, giften…). Deze gegevens zijn gebaseerd op de aangiften in de personenbelasting die door de FOD Financiën aan Statbel worden aangeleverd. Het vermelde jaar is het inkomstenjaar, het jaar dus waarin de gegevens in de aangiften zijn ""verdiend"".";euro;per inwoner;Totaal netto belastbaar inkomen;Aantal inwoners;Statbel;2020;november 2023;Gemiddeld inkomen, per inwoner;https://gsminfo.blob.core.windows.net/$web/Rapporten_outputs/OutputPerlDO/GSM_Extract_AR_11.xlsx;
6;Armoede;Geregistreerde statistiek;"Aantal kinderen geboren in een kansarm gezin volgens de criteria van Kind en Gezin in jaar x, jaar x-1 en jaar x-2 en die wonen in de gebiedsomschrijving op 31 december van jaar x ten opzichte van het totaal aantal kinderen geboren in die 3 jaar en die wonen in de gebiedsomschrijving op 31 december van jaar x.
Een gezin wordt door Kind en Gezin als kansarm beschouwd als het op minstens 3 van volgende criteria zwak scoort: beschikbaar maandinkomen, opleiding ouders, arbeidssituatie ouders, laag stimulatieniveau, huisvesting en gezondheid.";persoon;procent;Aantal kinderen geboren in een kansarm gezin volgens de criteria van Kind en Gezin in jaar x, jaar x-1 en jaar x-2 en die wonen in de gebiedsomschrijving op 31 december van jaar x;Aantal kinderen geboren in jaar x, jaar x-1 en jaar x-2 en die wonen in de gebiedsomschrijving op 31 december van jaar x;Kind & Gezin;2021;augustus 2023;Kansarmoede-index Kind en Gezin;https://gsminfo.blob.core.windows.net/$web/Rapporten_outputs/OutputPerlDO/GSM_Extract_AR_03.xlsx;
7;Armoede;Geregistreerde statistiek;Aandeel kinderen van 0 tot en met 17 jaar dat leeft in een gezin waarvan de werkintensiteit lager of gelijk is aan 0,2, op 1 januari van het jaar. De Kruispuntbank van de Sociale Zekerheid (KSZ) registreert de socio-economische positie van de gehele Belgische bevolking. Op huishoudniveau kan worden gekeken hoeveel volwassenen in het gezin aan het werk zijn en in welk arbeidsregime. Op basis daarvan wordt een werkintensiteit van het gezin berekend. Deze werkintensiteit varieert tussen 0 (geen enkel volwassen lid van het gezin werkt) tot 1 (alle volwassen leden van het gezin werken voltijds). De gezinnen met een werkintensiteit lager dan 0,2 worden beschouwd als gezinnen met een zeer lage werkintensiteit.;persoon;procent;Aantal kinderen van 0 tot en met 17 jaar dat leeft in een gezin met zeer lage werkintensiteit;Aantal inwoners van 0 tot en met 17 jaar (KSZ-cijfers);Datawarehouse Arbeidsmarkt en Sociale Bescherming van de Kruispuntbank van de Sociale Zekerheid;2020;augustus 2023;Kinderen in gezin met zeer lage werkintensiteit;https://gsminfo.blob.core.windows.net/$web/Rapporten_outputs/OutputPerlDO/GSM_Extract_AR_08.xlsx;
8;Armoede;Geregistreerde statistiek;"Aantal van de vier leerlingenkenmerken (Thuistaal niet-Nederlands, Laag opleidingsniveau van de moeder, Ontvangen van een schooltoelage, Wonend in een buurt met hoge mate van schoolse vertraging) waaraan de leerlingen van het gewoon lager onderwijs voldoen (""aantikken""), gesommeerd over alle leerlingen van het gewoon lager onderwijs, en vervolgens gedeeld door het totaal aantal leerlingen van het gewoon lager onderwijs, telkens naar woonplaats. De OKI is bijgevolg een cijfer tussen 0 en 4.";kenmerk;per leerling;Aantal van de vier leerlingenkenmerken waaraan de leerlingen van het gewoon lager onderwijs voldoen (thuistaal niet NL, laag opleidingsniveau moeder, ontvangen schooltoeslag, buurtindicator), gesommeerd over alle leerlingen van het gewoon lager onderwijs, naar woonplaats;Aantal leerlingen van het gewoon lager onderwijs, naar woonplaats;Departement Onderwijs & Vorming;2022;februari 2024;Onderwijskansarmoede-indicator (OKI);https://gsminfo.blob.core.windows.net/$web/Rapporten_outputs/OutputPerlDO/GSM_Extract_AR_05.xlsx;
9;Armoede;Geregistreerde statistiek;Aandeel personen van 0 tot en met 59 jaar dat leeft in een gezin waarvan de werkintensiteit lager of gelijk is aan 0,2, op 1 januari van het jaar. De Kruispuntbank van de Sociale Zekerheid (KSZ) registreert de socio-economische positie van de gehele Belgische bevolking. Op huishoudniveau kan worden gekeken hoeveel volwassenen in het gezin aan het werk zijn en in welk arbeidsregime. Op basis daarvan wordt een werkintensiteit van het gezin berekend. Deze werkintensiteit varieert tussen 0 (geen enkel volwassen lid van het gezin werkt) tot 1 (alle volwassen leden van het gezin werken voltijds). De gezinnen met een werkintensiteit lager dan 0,2 worden beschouwd als gezinnen met een zeer lage werkintensiteit.;persoon;procent;Aantal personen van 0 tot en met 59 jaar dat leeft in een gezin met zeer lage werkintensiteit;Aantal inwoners van 0 tot en met 59 jaar (KSZ-cijfers);Datawarehouse Arbeidsmarkt en Sociale Bescherming van de Kruispuntbank van de Sociale Zekerheid;2020;juni 2023;Personen in gezin met zeer lage werkintensiteit;https://gsminfo.blob.core.windows.net/$web/Rapporten_outputs/OutputPerlDO/GSM_Extract_AR_06.xlsx;
